MAST,Voice QoS,Call Count_Sum,LONGITUDE,LATITUDE,ADDRESS,SITE_TYPE,CELL_ID,CELL_NAME
"anon_S11",0.995000,368805.000000,106.662224,10.804978,"10 NGUYEN CANH DI  P4  TAN BINH  HCM","Outdoor","452-01-20042-4541","Cell_S11"
"anon_S12",0.995000,364049.000000,106.671620,10.732280,"C3/36 Pham Hung, ap 4, P.Binh Hung, Binh Chanh","Outdoor","452-01-20016-3070","Cell_S12"
"anon_S13",0.996000,362518.000000,106.696710,10.805850,"2/6 Nguyen Huy Luong, Phuong 14, Q. Binh Thanh, TP.HCM","Outdoor","452-01-20032-4029","Cell_S13"
"anon_S14",0.997000,361941.000000,106.614890,10.841820,"0/A1 Khu pho 1, p.Tan Thoi Nhat, Quan 12","Outdoor","452-01-20120-3630","Cell_S14"
"anon_S15",0.992000,358751.000000,106.680050,10.863520,"350 HUONG LO 12 P. THANH LOC - Q12 - HCM","Outdoor","452-01-20122-3623","Cell_S15"
"anon_S16",0.996000,355420.000000,106.691150,10.776020,"186-186 Bis Nguyen Thi Minh Khai, P.6, Q.03","Outdoor","452-01-20006-1857","Cell_S16"
"anon_S17",0.995000,355053.000000,106.674260,10.765890,"138 Tran Nhan Ton - Phuong 2 - Quan 10 - TP.HCM","Outdoor","452-01-20100-3422","Cell_S17"
"anon_S18",0.997000,348372.000000,106.642900,10.742540,"425 Pham Van Chi P.7-Q.6","Outdoor","452-01-20012-2528","Cell_S18"
"anon_S19",0.995000,347396.000000,106.689250,10.741950,"279 Lo E Duong Ba Trac P1 Q8 TpHCM","Outdoor","452-01-20016-3023","Cell_S19"
"anon_S20",0.997000,346418.000000,106.601260,10.818010,"164 Quoc Lo 1A KP1 p.Binh Hung Hoa B Q.Binh Tan","Outdoor","452-01-20026-3825","Cell_S20"
"anon_S21",0.996000,345940.000000,106.701420,10.759980,"129F/138/44A Ben Van Don  phuong 6  Q.4","Outdoor","452-01-20008-2202","Cell_S21"
"anon_S22",0.993000,345215.000000,106.657600,10.761750,"164 Le Dai Hanh P7 Q11","Outdoor","452-01-20020-3519","Cell_S22"
"anon_S23",0.992000,340066.000000,106.675530,10.753643,"So 1025-1029, duong Tran Hung Dao, phuong 5, quan 5, thanh pho Ho Chi Minh.","Outdoor","452-01-20058-2312","Cell_S23"
"anon_S24",0.995000,339593.000000,106.690600,10.786890,"158A Vo Thi Sau, P8 Q3 Tp.HCM.","Outdoor","452-01-20006-1833","Cell_S24"
"anon_S25",0.997000,337001.000000,106.666120,10.775260,"339/34A14 To Hien Thanh, Phuong 12, Quan 10, TPHCM>","Outdoor","452-01-20060-3485","Cell_S25"
"anon_S26",0.995000,336977.000000,106.692810,10.764780,"247-249 Tran Hung Dao  Q.1","Outdoor","452-01-20000-1076","Cell_S26"
"anon_S27",0.995000,336018.000000,106.630552,10.798362,"19/20 Nguyen Cuu Dam  P. Tan Son Nhi  Q. Tan Phu","Outdoor","452-01-20048-4721","Cell_S27"
"anon_S28",0.996000,334110.000000,106.678700,10.729900,"C8/32 AB 14 duong Pham Hung, ap 4 xa Binh Hung, huyen Binh Chanh. Ba Duong Thi Dai '0918095455 (chung cot vina)","Outdoor","452-01-20050-6248","Cell_S28"
"anon_S29",0.997000,333610.000000,106.687660,10.767630,"07 Nam Quoc Cang Q1","Outdoor","452-01-20000-1052","Cell_S29"
"anon_S30",0.996000,331728.000000,106.687370,10.822615,"12 Nguyen Van Bao, P.4, Q. Go Vap, TP.HCM","Outdoor","452-01-20184-5240","Cell_S30"
"anon_S31",0.996000,331050.000000,106.660070,10.739300,"100/3A Bui Minh Truc P5 Q8 TpHCM","Outdoor","452-01-20016-3010","Cell_S31"
"anon_S32",0.996000,330413.000000,106.597040,10.889420,"16/151 Tran Khac Chan, KP 5, TT.Hoc Mon,TP.HCM","Outdoor","452-01-20190-5808","Cell_S32"
"anon_S33",0.997000,330391.000000,106.703170,10.779833,"31C Ly Tu Trong- P.Ben Nghe - Q.1 - TP.HCM","Outdoor","452-01-20064-1085","Cell_S33"
"anon_S34",0.995000,330248.000000,106.702900,10.762860,"168 Hoang Dieu  P.9  Q.4","Outdoor","452-01-20008-2208","Cell_S34"
"anon_S35",0.997000,330094.000000,106.726440,10.753410,"114B/9 Bis Huynh Tan Phat  Phuong Tan Thuan Tay  Q.7","Outdoor","452-01-20014-2709","Cell_S35"
"anon_S36",0.997000,329050.000000,106.609270,10.696760,"So 29 Lo F1 Khu dan cu Ben Luc, p.7","Outdoor","452-01-20088-3052","Cell_S36"
"anon_S37",0.996000,327998.000000,106.665416,10.803002,"06 PHAN DINH GIOT - P2 - TAN BINH - HCM","Outdoor","452-01-20042-4537","Cell_S37"
"anon_S38",0.996000,326961.000000,106.684070,10.769180,"2/10 Cao Thang  - Phuong 5 - Quan 3 - TP.HCM","Outdoor","452-01-20006-1825","Cell_S38"
"anon_S39",0.996000,326852.000000,106.684320,10.757530,"135 Nguyen Van Cu","Outdoor","452-01-20058-2324","Cell_S39"
"anon_S40",0.996000,325521.000000,106.613160,10.864520,"31M Nguyen Anh Thu  P. Trung My Tay  Q.12","Outdoor","452-01-20120-3611","Cell_S40"
"anon_S41",0.996000,324612.000000,106.653324,10.692992,"D11/311 Trinh Quang Nghi  xa Phong Phu  Binh Chanh","Outdoor","452-01-20050-5444","Cell_S41"
"anon_S42",0.997000,323311.000000,106.652840,10.749710,"13/9 Thap Muoi - P.2 - Q.6 - TP.HCM","Outdoor","452-01-20012-2510","Cell_S42"
"anon_S43",0.996000,321035.000000,106.647680,10.753100,"671/18 Duong Hong Bang - P.6 -  Q.6 - TP.HCM","Outdoor","452-01-20012-2517","Cell_S43"
"anon_S44",0.994000,320213.000000,106.618460,10.832040,"9/13G, KP3, P. Tan Thoi Nhat","Outdoor","452-01-20120-3642","Cell_S44"
"anon_S45",0.997000,319648.000000,106.675190,10.758430,"247 Tran Phu P.9 Q5 TPHCM","Outdoor","452-01-20058-2329","Cell_S45"
"anon_S46",0.997000,318578.000000,106.600060,10.752110,"BR04  KHU PHO 4  PHUONG TAN TAO  QUAN BINH TAN  HCM","Outdoor","452-01-20140-3845","Cell_S46"
"anon_S47",0.997000,317335.000000,106.657770,10.757120,"59/16 Thuan Kieu, p.12, Q.5, TP.HCM;","Outdoor","452-01-20010-2375","Cell_S47"
"anon_S48",0.997000,316700.000000,106.653700,10.784020,"1A Tan Phuoc  P.8  Tan Binh","Outdoor","452-01-20160-4552","Cell_S48"
"anon_S49",0.997000,315747.000000,106.603300,10.821670,"3/45/16  Duong 1  - Phuong Binh Hung Hoa - Q.Binh Tan - TP.HCM","Outdoor","452-01-20026-3942","Cell_S49"
"anon_S50",0.996000,315022.000000,106.700330,10.767620,"236-238 Nguyen Cong Tru-Q1","Outdoor","452-01-20000-1101","Cell_S50"
"anon_S51",0.996000,314420.000000,106.712870,10.815550,"171 QUOC LO 13 - BINH THANH - HCM","Outdoor","452-01-20030-4019","Cell_S51"
"anon_S52",0.995000,313535.000000,106.677110,10.874320,"484/1A Ha Huy Giap  khu pho 1  Phuong Thanh Loc  Q.12","Outdoor","452-01-20122-3605","Cell_S52"
"anon_S53",0.996000,313145.000000,106.603150,10.857050,"C36A ap my hoa 2, x.tan xuan, hoc mon. A.Tuan:0913857680","Outdoor","452-01-20190-5949","Cell_S53"
"anon_S54",0.997000,312973.000000,106.661800,10.758578,"522 NGUYEN CHI THANH  P7Q10 HCM","Outdoor","452-01-20100-3415","Cell_S54"
"anon_S55",0.996000,312790.000000,106.676040,10.756130,"291 Nguyen Trai, p.7","Outdoor","452-01-20058-2347","Cell_S55"
"anon_S56",0.998000,311311.000000,106.652150,10.747230,"So 71/6B, duong Bai Say, phuong 1, quan 6, thanh pho Ho Chi Minh","Outdoor","452-01-20012-2557","Cell_S56"
"anon_S57",0.997000,309690.000000,106.621080,10.742410,"33 Le Cong Phep, KP3, P. An Lac, Q. Binh Tan","Outdoor","452-01-20140-3868","Cell_S57"
"anon_S58",0.997000,308041.000000,106.613330,10.846710,"16C QL 22 P. Trung My Tay - Q.12","Outdoor","452-01-20120-3603","Cell_S58"
"anon_S59",0.996000,306900.000000,106.698665,10.760003,"So 386-388, duong Hoang Dieu, phuong 5, quan 4, thanh pho Ho Chi Minh.","Outdoor","452-01-20008-2209","Cell_S59"
"anon_S60",0.996000,305760.000000,106.691251,10.771400,"90-92 LE THI RIENG  Q1.HCM","Outdoor","452-01-20000-1003","Cell_S60"
"anon_S61",0.992000,305506.000000,106.629960,10.838880,"464/4A Nguyen Van Qua P.Dong Hung Thuan Q.12","Outdoor","452-01-20120-3612","Cell_S61"
"anon_S62",0.996000,304495.000000,106.678820,10.786170,"221/34 Le Van Si P13 Q.3","Outdoor","452-01-20034-1839","Cell_S62"
"anon_S63",0.996000,303307.000000,106.671010,10.745460,"148 Nguyen Duy P9 Q8 TP.HCM","Outdoor","452-01-20016-3016","Cell_S63"
"anon_S64",0.996000,303115.000000,106.632100,10.756210,"30-31 duong so 1, khu pho cho Phu Lam, P.13, Q.6","Outdoor","452-01-20012-2526","Cell_S64"
"anon_S65",0.996000,302020.000000,106.622150,10.706020,"Lo B92 Khu dan cu Him Lam P.7 Q.8 Tp.HCM","Outdoor","452-01-20088-3025","Cell_S65"
"anon_S66",0.996000,301169.000000,106.656060,10.736350,"226 Lien tinh 5  phuong 6  quan 8","Outdoor","452-01-20016-3009","Cell_S66"
"anon_S67",0.996000,299782.000000,106.658040,10.753810,"125 Chau Van Liem  Q5  TpHCM","Outdoor","452-01-20010-2326","Cell_S67"
"anon_S68",0.995000,298817.000000,106.647470,10.740180,"289/11B Ben Binh Dong  P.14  Q.8","Outdoor","452-01-20016-3006","Cell_S68"
"anon_S69",0.996000,297292.000000,106.645870,10.734830,"2095 Pham The Hien P.06 Q.08 Tp.HCM","Outdoor","452-01-20016-3030","Cell_S69"
"anon_S70",0.992000,295259.000000,106.706000,10.766350,"17 Doan Nhu Hai - P.12 - Q.4 - TP.HCM","Outdoor","452-01-20008-2215","Cell_S70"
"anon_S71",0.995000,294884.000000,106.684444,10.754667,"Chung cu 44, Nguyen Bieu, Q5.","Outdoor","452-01-20058-2317","Cell_S71"
"anon_S72",0.997000,292518.000000,106.658910,10.769806,"334/1 Ly Thuong Kiet  P.14  Q.10","Outdoor","452-01-20060-3416","Cell_S72"
"anon_S73",0.995000,292489.000000,106.668480,10.735220,"B48 Ta Quang Buu  P. 5  Q.8","Outdoor","452-01-20016-3036","Cell_S73"
"anon_S74",0.997000,291997.000000,106.594640,10.696010,"Buu dien Binh Dien  Binh Chanh","Outdoor","452-01-20050-5405","Cell_S74"
"anon_S75",0.996000,291751.000000,106.619000,10.774030,"103/1/2 Le Van Quoi - Phuong Binh Tri Dong - Quan Binh Tan - TP.HCM","Outdoor","452-01-20140-3812","Cell_S75"
"anon_S76",0.995000,291570.000000,106.673020,10.743350,"So 10 Duong So 25  P4  Q8","Outdoor","452-01-20016-3021","Cell_S76"
"anon_S77",0.996000,291438.000000,106.618860,10.837580,"89/1 Truong Chinh Q12 TpHCM","Outdoor","452-01-20120-3619","Cell_S77"
"anon_S414",0.995000,183142.000000,106.622609,10.787697,"72 Le Thuc Hoach  p.Phu Tho Hoa","Outdoor","452-01-20048-4719","Cell_S414"
"anon_S415",0.996000,183034.000000,106.609500,10.732500,"574/8/1 Kinh Duong Vuong KP1 P.An Lac Binh Tan","Outdoor","452-01-20028-3832","Cell_S415"
"anon_S416",0.994000,182763.000000,106.646494,10.775312,"So 56/2, duong Trinh Dinh Trong, phuong Phu Trung, quan Tan Phu, thanh pho Ho Chi Minh.","Outdoor","452-01-20020-4778","Cell_S416"
"anon_S417",0.997000,182723.000000,106.684320,10.757530,"135 Nguyen Van Cu","Outdoor","452-01-22052-2324","Cell_S417"
"anon_S418",0.997000,182340.000000,106.666120,10.775260,"339/34A14 To Hien Thanh, Phuong 12, Quan 10, TPHCM>","Outdoor","452-01-22102-3485","Cell_S418"
"anon_S419",0.995000,182270.000000,106.687777,10.790000,"28, Nguyen Van Mai, P8, Q3","Outdoor","452-01-20064-1025","Cell_S419"
"anon_S420",0.996000,182222.000000,106.673702,10.751224,"68 Bach Van, p. 5","Outdoor","452-01-20058-2344","Cell_S420"
"anon_S421",0.993000,181934.000000,106.614780,10.873360,"10/5 Ap Dong, Xa Thoi Tam Thon","Outdoor","452-01-20190-5838","Cell_S421"
"anon_S422",0.996000,181860.000000,106.645010,10.906590,"5/8 Ap 5, Xa Dong Thanh, Hoc Mon","Outdoor","452-01-20190-5851","Cell_S422"
"anon_S423",0.995000,181823.000000,106.560060,10.798060,"F1/5 ap 6 xa Vinh Loc B   huyen Binh Chanh TP.HCM","Outdoor","452-01-20130-5428","Cell_S423"
"anon_S424",0.995000,181766.000000,106.708875,10.743374,"34/3 Duong 25A, Kp2, P.Tan quy, Q7","Outdoor","452-01-20072-2781","Cell_S424"
"anon_S425",0.997000,181738.000000,106.650510,10.870820,"Duong Le Van KHuong P.Thoi An Q.12","Outdoor","452-01-20122-3609","Cell_S425"
"anon_S426",0.995000,181163.000000,106.712040,10.755770,"670/87/52/3 Doan Van Bo, p.16, Q.4","Outdoor","452-01-20008-2243","Cell_S426"
"anon_S427",0.996000,181145.000000,106.595200,10.813010,"So 15, duong so 16, ma nen ( 08 18 II ), P.Binh Hung Hoa B, Q.Binh Tan, Tp.HCM. A.Tien : 0903693769","Outdoor","452-01-20026-3940","Cell_S427"
"anon_S428",0.996000,180978.000000,106.736764,10.708344,"58/2 Khu pho 2, p.Phu My","Outdoor","452-01-20014-2769","Cell_S428"
"anon_S429",0.997000,180970.000000,106.685310,10.798630,"419/3C Phan Xich Long  P.2  Phu Nhuan","Outdoor","452-01-20040-4324","Cell_S429"
"anon_S430",0.997000,180780.000000,106.653010,10.755320,"76 Ha Ton Quyen, P.15, Q5","Outdoor","452-01-20010-2357","Cell_S430"
"anon_S431",0.997000,180715.000000,106.600060,10.752110,"BR04  KHU PHO 4  PHUONG TAN TAO  QUAN BINH TAN  HCM","Outdoor","452-01-22140-3845","Cell_S431"
"anon_S432",0.997000,180708.000000,106.627820,10.756700,"110/15/23 Ba Hom  P.13  Q.6/","Outdoor","452-01-20012-2506","Cell_S432"
"anon_S433",0.995000,180419.000000,106.695560,10.825280,"6/7 Duong so 7, p.5","Outdoor","452-01-20184-5159","Cell_S433"
"anon_S434",0.995000,179892.000000,106.692270,10.749540,"1041/21A To 13, Tran Xuan Soan, kp3, p.Tan Hung","Outdoor","452-01-20072-2758","Cell_S434"
"anon_S435",0.996000,179674.000000,106.696060,10.797420,"91 Dinh Tien Hoang, p.3, Binh Thanh","Outdoor","452-01-20032-4122","Cell_S435"
"anon_S436",0.994000,179642.000000,106.637520,10.877720,"227 khu pho 3  phuong Hiep Thanh   quan 12","Outdoor","452-01-20122-3606","Cell_S436"
"anon_S437",0.993000,179571.000000,106.608820,10.881320,"307K To Ky Ap moi 1 xa Tan Xuan Huyen Hoc Mon TP.HCM","Outdoor","452-01-20190-5814","Cell_S437"
"anon_S438",0.995000,179570.000000,106.642900,10.776620,"102 Hoang Xuan Nhi  Phuong Phu Trung  Tan Phu","Outdoor","452-01-20086-4712","Cell_S438"
"anon_S78",0.995000,289631.000000,106.668807,10.812957,"47  Yen The  P2  Tan BInh  TPHCM-","Outdoor","452-01-20042-4559","Cell_S78"
"anon_S79",0.996000,289435.000000,106.671540,10.753460,"181/2 an Binh  phuong 7  Q.5","Outdoor","452-01-20058-2301","Cell_S79"
"anon_S80",0.997000,288816.000000,106.664230,10.762221,"188 TAN PHUOC  P6Q10 - HCM","Outdoor","452-01-20100-3428","Cell_S80"
"anon_S81",0.997000,287844.000000,106.633850,10.804590,"74/8 Tan Ky Tan Quy, p.Tay Thanh. Ba Cam","Outdoor","452-01-20048-4754","Cell_S81"
"anon_S82",0.992000,287578.000000,106.594740,10.873020,"57/6 Xuan Thoi Dong","Outdoor","452-01-20190-5823","Cell_S82"
"anon_S83",0.996000,287494.000000,106.657040,10.732420,"339/47 Lien Tinh 5, p.5, Quan 8","Outdoor","452-01-20016-3063","Cell_S83"
"anon_S84",0.994000,287063.000000,106.639140,10.854880,"1192 Nguyen Van Qua  kp2  P. Tan Thoi hiep  Q12","Outdoor","452-01-20120-3629","Cell_S84"
"anon_S85",0.997000,285392.000000,106.577340,10.813220,"F1/54B Huong lo 80  Ap 6  xa Vinh Loc A  Binh Chanh","Outdoor","452-01-20130-5441","Cell_S85"
"anon_S86",0.997000,285190.000000,106.688590,10.798890,"30 Hoa Hue, p.7, Q.Phu Nhuan, TP.HCM;","Outdoor","452-01-20040-4359","Cell_S86"
"anon_S87",0.996000,284691.000000,106.709340,10.800340,"430/117 DBP, phuong 17, Bthanh","Outdoor","452-01-20032-4057","Cell_S87"
"anon_S88",0.994000,283582.000000,106.703390,10.740670,"362/2/18A Le Van Luong  KP1  phuong Tan Hung  Q.7","Outdoor","452-01-20072-2737","Cell_S88"
"anon_S89",0.997000,282251.000000,106.643483,10.756642,"329-329A MINH PHUNG P2Q11 - HCM","Outdoor","452-01-20020-3516","Cell_S89"
"anon_S90",0.992000,281608.000000,106.751510,10.786120,"299H21 Nguyen Thi Dinh (C33 Khu dan cu Song Giong) An Phu-Q2","Outdoor","452-01-20004-1504","Cell_S90"
"anon_S91",0.996000,281472.000000,106.645650,10.748850,"121A/56 Hau Giang, Phuong 5. Phan Thanh Nhan 0903933261","Outdoor","452-01-20012-2567","Cell_S91"
"anon_S92",0.994000,281267.000000,106.655340,10.712810,"E1/5 Ap 5  QL50  Phong Phu  BC","Outdoor","452-01-20050-5421","Cell_S92"
"anon_S93",0.993000,281148.000000,106.691260,10.738860,"So 6 Duong so 7 - KDC Trung Son - Ap 4 - xa Binh Hung  - Q.Binh Chanh - TP.HCM","Outdoor","452-01-20050-6233","Cell_S93"
"anon_S94",0.993000,280867.000000,106.688720,10.859320,"1365/1 Quoc Lo 1A, P.An Phu Dong, Q.12, Tp.HCM","Outdoor","452-01-20122-3645","Cell_S94"
"anon_S95",0.996000,279888.000000,106.620080,10.755940,"4/36 Phung Ta Tru  phuong An Lac A  Binh Tan","Outdoor","452-01-20140-3843","Cell_S95"
"anon_S96",0.997000,279648.000000,106.709110,10.791860,"1/9 CongTruongTu Do, P.19, BinhThanh","Outdoor","452-01-20032-4051","Cell_S96"
"anon_S97",0.995000,278425.000000,106.696040,10.753000,"275 Ton That Thuyet  P.3  Q.4","Outdoor","452-01-20008-2212","Cell_S97"
"anon_S98",0.996000,278330.000000,106.669100,10.747950,"4 Chanh Hung  P.10  Q.8","Outdoor","452-01-20016-3014","Cell_S98"
"anon_S206",0.996000,227216.000000,106.679260,10.806230,"622/21 Nguyen Kiem . Phuong 4  PN","Outdoor","452-01-20040-4316","Cell_S206"
"anon_S207",0.996000,227107.000000,106.689430,10.746940,"189 Duong Ba Trac P1 Q8 TpHCM","Outdoor","452-01-20016-3003","Cell_S207"
"anon_S208",0.997000,225951.000000,106.671230,10.766760,"160 Ba Hat, P.9, Quan 10, TP.HCM,","Outdoor","452-01-20100-3478","Cell_S208"
"anon_S209",0.996000,225852.000000,106.655800,10.745080,"43 Nguyen Van Cua, Phuong 13, Q8, TP.HCM","Outdoor","452-01-20016-3050","Cell_S209"
"anon_S210",0.996000,225431.000000,106.679060,10.857330,"Thua so 1007, to so 15, p.Thanh Loc","Outdoor","452-01-20122-3652","Cell_S210"
"anon_S439",0.997000,179544.000000,106.670980,10.799520,"217//2B Hoang Van thu, P8, Phu Nhan","Outdoor","452-01-20040-4338","Cell_S439"
"anon_S440",0.996000,179520.000000,106.651600,10.735490,"177, Bui Minh Truc, P.6, Q. 8","Outdoor","452-01-20016-3026","Cell_S440"
"anon_S441",0.996000,179454.000000,106.704830,10.760730,"122/37/9 Ton Dan, p.10, Q.04, TP.HCM","Outdoor","452-01-20008-2238","Cell_S441"
"anon_S442",0.998000,179362.000000,106.664850,10.777491,"138/38 To Hien Thanh Q10","Outdoor","452-01-20060-3430","Cell_S442"
"anon_S443",0.996000,179264.000000,106.601143,10.686973,"xa An Phu Tay, Binh Chanh,","Outdoor","452-01-20050-5479","Cell_S443"
"anon_S444",0.996000,179249.000000,106.656410,10.739590,"59 Lien Tinh 5, phuong 5","Outdoor","452-01-20016-3045","Cell_S444"
"anon_S445",0.997000,179025.000000,106.766910,10.873380,"525/4 Quoc Lo 1A, p.Linh Xuan","Outdoor","452-01-20074-4947","Cell_S445"
"anon_S446",0.997000,178830.000000,106.684700,10.749540,"114 Da Nam - phuong 2 - Quan 8 - TP.HCM (Cau Chu Y ). Landlord :Bui Quang Sau. Tel :0838517830 - 0918264863","Outdoor","452-01-20016-3084","Cell_S446"
"anon_S447",0.997000,178798.000000,106.653190,10.759030,"247 Ta Uyen, Phuong 6, Quan11, TPHCM.","Outdoor","452-01-20020-3561","Cell_S447"
"anon_S448",0.995000,178574.000000,106.652730,10.776590,"116/47 Thien Phuoc P.09 Q.Tan Binh","Outdoor","452-01-20160-4553","Cell_S448"
"anon_S449",0.997000,178318.000000,106.627690,10.858331,"18/22A kp2, p.Tan Chanh Hiep","Outdoor","452-01-20120-3624","Cell_S449"
"anon_S450",0.995000,178214.000000,106.569400,10.815340,"F4 to 4 Vinh Loc A -","Outdoor","452-01-20130-5431","Cell_S450"
"anon_S451",0.997000,177942.000000,106.698668,10.812026,"368/1 Chu Van An P.12 Q.Binh Thanh Tp.HCM","Outdoor","452-01-20030-4013","Cell_S451"
"anon_S452",0.997000,177749.000000,106.685406,10.777932,"291 DIEN BIEN PHU  P7Q3  HCM","Outdoor","452-01-20006-1812","Cell_S452"
"anon_S453",0.997000,177639.000000,106.682220,10.805140,"81 Thich Quang Duc  p. 4  Q. Phu Nhuan  TpHCM","Outdoor","452-01-20040-4327","Cell_S453"
"anon_S454",0.996000,177555.000000,106.697320,10.819700,"334/B7 Phan Van Tri  phuong 11  Binh Thanh","Outdoor","452-01-20030-4041","Cell_S454"
"anon_S455",0.996000,177395.000000,106.602500,10.808430,"36 duong so 4, Khu pho 3, Phuong Binh Hung Hoa, Q.Binh Tan/Nguyen Huu Nghia-Nguyen Thi Thuy Hang-0903604055","Outdoor","452-01-20026-3913","Cell_S455"
"anon_S456",0.996000,177360.000000,106.706880,10.750500,"465/2/22 Tran Xuan Soan  KP1  P. tan Kieng  Q.7","Outdoor","452-01-20072-2736","Cell_S456"
"anon_S457",0.996000,177320.000000,106.625430,10.767280,"199 Ly Thanh Tong P.Tan Thoi Hoa Q.Tan Phu","Outdoor","452-01-20084-4720","Cell_S457"
"anon_S458",0.996000,176955.000000,106.683990,10.759030,"201 Nguyen Van Cu, p.2","Outdoor","452-01-20000-2378","Cell_S458"
"anon_S459",0.995000,176871.000000,106.690350,10.765889,"276/13 Bui Vien  phuong Pham Ngu Lao  Q.1","Outdoor","452-01-20000-1004","Cell_S459"
"anon_S460",0.996000,176801.000000,106.659690,10.789090,"117/2 CMT 8  phuong 7  TB","Outdoor","452-01-20160-4514","Cell_S460"
"anon_S461",0.995000,176786.000000,106.609510,10.839010,"55/4 Ap Nam Lan, xa Ba Diem, Hoc Mon, Tp HCM","Outdoor","452-01-20190-5833","Cell_S461"
"anon_S462",0.997000,176723.000000,106.683750,10.790870,"380/3A Nam Ky Khoi Nghia","Outdoor","452-01-20034-1824","Cell_S462"
"anon_S463",0.997000,176701.000000,106.609270,10.696760,"So 29 Lo F1 Khu dan cu Ben Luc, p.7","Outdoor","452-01-22080-3052","Cell_S463"
"anon_S464",0.994000,176633.000000,106.656751,10.800678,"29C Duong Cong hoa  Phuong 4  Quan Tan Binh","Outdoor","452-01-22230-4512","Cell_S464"
"anon_S465",0.995000,176339.000000,106.680500,10.881870,"thua 1030, to 10, Phuong Thanh Loc, Q.12.Ong Cong: 0918766077","Outdoor","452-01-20122-3708","Cell_S465"
"anon_S466",0.997000,176332.000000,106.624370,10.790450,"5/30 Tay Son P. Tan Quy","Outdoor","452-01-20048-4724","Cell_S466"
"anon_S467",0.997000,176257.000000,106.683410,10.802460,"128B PHAN DANG LUU - P3QPN - HCM","Outdoor","452-01-20040-4325","Cell_S467"
"anon_S468",0.997000,176098.000000,106.602970,10.777380,"Thua dat so 35, p.Binh Hung Hoa A","Outdoor","452-01-20140-3880","Cell_S468"
"anon_S469",0.996000,175893.000000,106.702050,10.778193,"70-72 Le Thanh Ton  Quan 1  TP.HCM","Outdoor","452-01-22010-1123","Cell_S469"
"anon_S470",0.997000,175496.000000,106.618740,10.743680,"9G khu Pho 3  P an Lac  Q Binh Tan","Outdoor","452-01-20140-3802","Cell_S470"
"anon_S471",0.996000,175391.000000,106.699100,10.798470,"242 Bui Huu Nghia  phuong 2  Binh Thanh","Outdoor","452-01-20032-4006","Cell_S471"
"anon_S472",0.994000,175130.000000,106.623310,10.732770,"32 DUONG SO 2 KHU NHA THANH NHAT - P16Q8 - HCM","Outdoor","452-01-20088-3002","Cell_S472"
"anon_S473",0.996000,174975.000000,106.612100,10.750100,"39 Duong so 5A, P.Binh Tri Dong B, Binh Tan","Outdoor","452-01-20140-3846","Cell_S473"
"anon_S474",0.997000,174599.000000,106.638950,10.752298,"18 Hoang Le Kha, F9, Quan 6;","Outdoor","452-01-20012-2519","Cell_S474"
"anon_S475",0.997000,174533.000000,106.694646,10.813818,"235/15 Phan Van Tri  p.11","Outdoor","452-01-20030-4042","Cell_S475"
"anon_S476",0.997000,174419.000000,106.768930,10.828360,"171 Do Xuan Hop, p.Phuoc Long A","Outdoor","452-01-20018-3297","Cell_S476"
"anon_S477",0.988000,174310.000000,106.672510,10.828370,"271/24 Quang Trung , p.10","Outdoor","452-01-20184-5175","Cell_S477"
"anon_S478",0.996000,174221.000000,106.722420,10.857230,"25 Quoc lo 13 (cu), khu pho 3, p.Hiep Binh Phuoc","Outdoor","452-01-20046-4969","Cell_S478"
