Region,District Code,District,LONGITUDE,LATITUDE,Geohash,CELL_NAME
"West",22,"Taman Jurong",103.721785,1.327893,"w21z81","Cell_S9156"
"West",22,"Jurong East",103.729165,1.348038,"w21z8m","Cell_S9212"
"West",22,"Jurong Tuas",103.630750,1.307988,"w21xqn","Cell_S9284"
"West",22,"Jurong Tuas",103.681575,1.343577,"w21xxk","Cell_S9367"
"West",22,"Jurong West Lakeside Boon Lay",103.706817,1.339029,"w21xxg","Cell_S9393"
"West",22,"Jurong West Lakeside Boon Lay",103.694362,1.343751,"w21xxs","Cell_S9426"
"West",22,"Jurong Joo Koon",103.704651,1.305756,"w21xrv","Cell_S9482"
"West",22,"Jurong Joo Koon",103.678291,1.301766,"w21xrk","Cell_S9545"
"West",22,"Jurong East",103.751156,1.303205,"w21z2v","Cell_S9636"
"North",23,"Yew Tee Choa Chu Kang",103.747694,1.381103,"w21zbg","Cell_S9833"
"West",23,"Bukit Batok Bukit Gombak",103.760517,1.346151,"w21z9j","Cell_S9900"
"North",23,"Bukit Panjang",103.775452,1.374434,"w21zc6","Cell_S9916"
"West",23,"Bukit Batok Bukit Gombak",103.753704,1.347458,"w21z8v","Cell_S9982"
"North",23,"Yew Tee Choa Chu Kang",103.750339,1.378842,"w21zbg","Cell_S10168"
"North",23,"Yew Tee Choa Chu Kang",103.755600,1.377451,"w21zc4","Cell_S10174"
"North",23,"Yew Tee Choa Chu Kang",103.752078,1.378660,"w21zbf","Cell_S10193"
"West",23,"Bukit Batok Bukit Gombak",103.750617,1.362135,"w21z8z","Cell_S10244"
"West",23,"Bukit Batok Bukit Gombak",103.754664,1.352251,"w21z8y","Cell_S10274"
"West",23,"Bukit Batok Bukit Gombak",103.757984,1.351164,"w21z9j","Cell_S10302"
"North",23,"Bukit Panjang",103.768889,1.374023,"w21zc6","Cell_S10392"
"West",23,"Bukit Batok Bukit Gombak",103.747635,1.362167,"w21z8z","Cell_S10404"
"West",23,"Bukit Batok Bukit Gombak",103.757360,1.347254,"w21z9j","Cell_S10424"
"North",25,"Woodlands Marsiling Amiralty",103.781577,1.436849,"w23b1t","Cell_S10654"
"North",25,"Woodlands Marsiling Amiralty",103.788499,1.432838,"w23b1u","Cell_S10720"
"North",25,"Woodlands Marsiling Amiralty",103.806459,1.448405,"w23b4p","Cell_S11029"
"North",27,"Yishun Khatib",103.839680,1.418592,"w23b4f","Cell_S11234"
"North",27,"Yishun Khatib",103.835039,1.442184,"w23b4y","Cell_S11299"
"North",27,"Yishun Khatib",103.832467,1.429358,"w23b4u","Cell_S11320"
"North",27,"Yishun Khatib",103.827016,1.434144,"w23b4t","Cell_S11349"
"North",27,"Yishun Khatib",103.832467,1.429358,"w23b4u","Cell_S11479"
"North",27,"Yishun Khatib",103.835227,1.415426,"w23b4c","Cell_S11496"
"North",27,"Sembawang",103.821761,1.416432,"w23b49","Cell_S11639"
"North",27,"Yishun Khatib",103.832537,1.424479,"w23b4g","Cell_S11692"
"North",27,"Yishun Khatib",103.837976,1.413074,"w23b4c","Cell_S11698"
"Central",,"Bugis Victoria Street Rochor",103.851704,1.296554,"w21z7h","Cell_S2"
"Central",1,"Marina South",103.854971,1.279645,"w21z72","Cell_S96"
"Central",1,"Marina South",103.860503,1.278887,"w21z72","Cell_S174"
"Central",1,"Chinatown",103.843980,1.285770,"w21z74","Cell_S227"
"Central",1,"Marina South",103.858300,1.282250,"w21z73","Cell_S232"
"Central",1,"Marina Esplanade Suntec",103.860303,1.292679,"w21z77","Cell_S599"
"Central",1,"Raffles Place",103.849079,1.285047,"w21z71","Cell_S601"
"Central",1,"Raffles Place",103.851463,1.283933,"w21z71","Cell_S743"
"Central",2,"Prince Edward Anson Road",103.845955,1.275857,"w21z70","Cell_S999"
"Central",2,"Tanjong Pagar",103.842868,1.273112,"w21z5p","Cell_S1000"
"Central",3,"Outram Road Tiong Bahru",103.828057,1.277007,"w21z68","Cell_S1107"
"Central",3,"Outram Road Tiong Bahru",103.828057,1.277007,"w21z68","Cell_S1126"
"Central",3,"Outram Road Tiong Bahru",103.836027,1.287929,"w21z6f","Cell_S1279"
"Central",3,"Queenstown Commonwealth",103.803121,1.290911,"w21z65","Cell_S1304"
"Central",3,"Redhill Bukit Merah Alexandra",103.818764,1.284977,"w21z63","Cell_S1338"
"Central",3,"Queenstown Commonwealth",103.803121,1.290911,"w21z65","Cell_S1415"
"West",5,"Pasir Panjang Alexandra Kent Ridge",103.779606,1.288100,"w21z3d","Cell_S1806"
"West",5,"Pasir Panjang Alexandra Kent Ridge",103.801757,1.276483,"w21z60","Cell_S1824"
"West",5,"Pasir Panjang Alexandra Kent Ridge",103.785235,1.291754,"w21z3e","Cell_S1892"
"West",5,"Clementi",103.765261,1.304763,"w21z3j","Cell_S2049"
"West",5,"Pasir Panjang Alexandra Kent Ridge",103.772969,1.299326,"w21z3k","Cell_S2113"
"West",5,"Dover Buona Vista Singapore Polytechnic",103.781566,1.308118,"w21z3w","Cell_S2116"
"West",5,"Dover Buona Vista Singapore Polytechnic",103.786355,1.296146,"w21z3e","Cell_S2236"
"West",5,"Clementi",103.760250,1.308657,"w21z3n","Cell_S2274"
"West",5,"Pasir Panjang Alexandra Kent Ridge",103.799277,1.276147,"w21z60","Cell_S2306"
"Central",6,"Central Fire Station Hill Street",103.853332,1.294076,"w21z75","Cell_S2397"
"Central",6,"Central Fire Station Hill Street",103.843683,1.292643,"w21z75","Cell_S2423"
"Central",6,"Central Fire Station Hill Street",103.853332,1.294076,"w21z75","Cell_S2488"
"Central",7,"Bugis Victoria Street Rochor",103.857782,1.301913,"w21z7m","Cell_S2528"
"Central",7,"Bugis Victoria Street Rochor",103.855921,1.299816,"w21z7k","Cell_S2557"
"Central",7,"Bugis Victoria Street Rochor",103.854951,1.297229,"w21z7k","Cell_S2680"
"Central",8,"Lavender Jalan Besar",103.862526,1.307809,"w21z7q","Cell_S2687"
"Central",9,"Orchard Road",103.836405,1.302275,"w21z6v","Cell_S2796"
"Central",9,"Orchard Road",103.841152,1.301265,"w21z6u","Cell_S3079"
"Central",9,"Orchard Road",103.830239,1.305261,"w21z6t","Cell_S3085"
"Central",9,"Orchard Road",103.830239,1.305261,"w21z6t","Cell_S3095"
"West",10,"Holland Road Ghim Moh",103.795001,1.331432,"w21z9f","Cell_S3179"
"West",10,"Holland Road Ghim Moh",103.795001,1.331432,"w21z9f","Cell_S3270"
"West",10,"Bukit Timah Farrer Road Coronation Road",103.805378,1.316429,"w21z6p","Cell_S3285"
"Central",10,"Tanglin Road River Valley",103.823912,1.304271,"w21z6t","Cell_S3289"
"West",10,"Holland Road Ghim Moh",103.788426,1.309150,"w21z3y","Cell_S3375"
"North",10,"Bukit Timah Stevens Road",103.826271,1.309480,"w21z6w","Cell_S3433"
"West",10,"Bukit Timah Farrer Road Coronation Road",103.799955,1.325931,"w21zd1","Cell_S3436"
"West",10,"Holland Road Ghim Moh",103.787618,1.332537,"w21z9d","Cell_S3464"
"North-East",11,"Novena",103.844227,1.320684,"w21ze0","Cell_S3647"
"North-East",11,"Novena",103.833267,1.320722,"w21zdb","Cell_S3703"
"North-East",12,"Braddell Toa Payoh",103.852786,1.335696,"w21ze5","Cell_S3805"
"North-East",12,"Braddell Toa Payoh",103.855870,1.331367,"w21ze6","Cell_S3856"
"North-East",12,"Braddell Toa Payoh",103.844652,1.333785,"w21ze4","Cell_S3870"
"North-East",12,"Balestier Bendemeer",103.850772,1.328805,"w21ze1","Cell_S4053"
"North-East",12,"Braddell Toa Payoh",103.857616,1.336775,"w21ze7","Cell_S4085"
"North-East",13,"Woodleigh Potong Pasir Macpherson",103.871573,1.326340,"w21ze9","Cell_S4127"
"North-East",13,"Potong Pasir Housing Estate",103.869182,1.334353,"w21zed","Cell_S4221"
"East",14,"Paya Lebar Malay Village Geylang Serai",103.897088,1.318121,"w21zkp","Cell_S4343"
"East",14,"Stadium",103.876878,1.309765,"w21z7y","Cell_S4386"
"East",14,"Paya Lebar Malay Village Geylang Serai",103.892775,1.324277,"w21zs1","Cell_S4427"
"East",14,"Stadium",103.876878,1.309765,"w21z7y","Cell_S4430"
"East",14,"Paya Lebar Malay Village Geylang Serai",103.897396,1.327394,"w21zs1","Cell_S4515"
"East",14,"Paya Lebar Malay Village Geylang Serai",103.895560,1.324896,"w21zs1","Cell_S4566"
"East",14,"Kallang Aljunied Geylang",103.882895,1.319061,"w21zeb","Cell_S4642"
"East",14,"Kallang Aljunied Geylang",103.889925,1.315206,"w21zkp","Cell_S4662"
"East",14,"Kembangan",103.909930,1.338115,"w21zse","Cell_S4663"
"East",15,"Katong Joo Chiat",103.916064,1.311462,"w21zkw","Cell_S5006"
"East",15,"Siglap",103.929313,1.313905,"w21zkz","Cell_S5050"
"East",15,"Katong Tanjong Rhu",103.896956,1.305819,"w21zkj","Cell_S5104"
"East",15,"Katong Tanjong Rhu",103.896956,1.305819,"w21zkj","Cell_S5130"
"East",16,"Singapore Expo Old Bedok Road Changi South",103.963940,1.331533,"w21ztf","Cell_S5205"
"East",16,"Bedok Chai Chee",103.944470,1.328131,"w21zt3","Cell_S5425"
"East",16,"Singapore Expo Old Bedok Road Changi South",103.966633,1.334766,"w21ztf","Cell_S5518"
"East",16,"Singapore Expo Old Bedok Road Changi South",103.964629,1.337703,"w21ztg","Cell_S5594"
"East",16,"Bedok Chai Chee",103.922767,1.326820,"w21zsc","Cell_S5648"
"East",16,"Singapore Expo Old Bedok Road Changi South",103.967264,1.336896,"w21ztg","Cell_S5693"
"East",16,"Bedok Chai Chee",103.928894,1.328684,"w21zsc","Cell_S5694"
"East",17,"Changi Airport",103.999427,1.382819,"w21zye","Cell_S5849"
"East",17,"Changi Airport",103.986877,1.349173,"w21zwm","Cell_S5872"
"East",17,"Changi Airport",103.999427,1.382819,"w21zye","Cell_S5896"
"East",17,"Loyang",103.971862,1.376241,"w21zvf","Cell_S5931"
"East",17,"Changi Coast",104.002841,1.376745,"w21zyd","Cell_S5952"
"East",17,"Changi Airport",103.999427,1.382819,"w21zye","Cell_S6010"
"East",17,"Loyang",103.965165,1.360158,"w21ztz","Cell_S6024"
"East",18,"Tampines Simei",103.946136,1.349261,"w21ztm","Cell_S6051"
"East",18,"Tampines Simei",103.954413,1.348596,"w21ztt","Cell_S6087"
"East",18,"Tampines Simei",103.928171,1.347401,"w21zsv","Cell_S6096"
"East",18,"Tampines Simei",103.932575,1.373434,"w21zv4","Cell_S6445"
"East",18,"Tampines Simei",103.957046,1.348045,"w21ztt","Cell_S6454"
"East",18,"Tampines Simei",103.953154,1.343122,"w21zts","Cell_S6465"
"East",18,"Pasir Ris",103.963101,1.366628,"w21zv8","Cell_S6703"
"North-East",19,"Hougang Serangoon Yio Chu Kang Kovan",103.885412,1.344482,"w21zeu","Cell_S6732"
"North-East",19,"Serangoon Central Serangoon Gardens",103.871491,1.368846,"w21zg9","Cell_S6826"
"North-East",19,"Hougang Serangoon Yio Chu Kang Kovan",103.875340,1.350859,"w21zet","Cell_S6921"
"North-East",19,"Punggol",103.910993,1.394522,"w21zut","Cell_S6942"
"North-East",19,"Sengkang Buangkok",103.905853,1.387940,"w21zuk","Cell_S6952"
"North-East",19,"Serangoon Central Serangoon Gardens",103.868843,1.351254,"w21zet","Cell_S7173"
"North-East",19,"Punggol",103.914584,1.399702,"w21zuw","Cell_S7286"
"North-East",19,"Hougang Serangoon Yio Chu Kang Kovan",103.884086,1.373740,"w21zgf","Cell_S7465"
"North-East",19,"Hougang Serangoon Yio Chu Kang Kovan",103.897160,1.366955,"w21zu0","Cell_S7605"
"North-East",19,"Sengkang Buangkok",103.894481,1.381888,"w21zu5","Cell_S7685"
"North-East",19,"Sengkang Buangkok",103.907899,1.388161,"w21zuk","Cell_S7745"
"North-East",19,"Hougang Serangoon Yio Chu Kang Kovan",103.891910,1.359608,"w21zsp","Cell_S7784"
"North-East",20,"Ang Mo Kio",103.859804,1.375819,"w21zg6","Cell_S7963"
"North-East",20,"Ang Mo Kio",103.849277,1.389355,"w21zgh","Cell_S8093"
"North-East",20,"Bishan Thomson Road",103.836068,1.351769,"w21zdy","Cell_S8159"
"North-East",20,"Bishan Thomson Road",103.837616,1.354797,"w21zdy","Cell_S8165"
"North-East",20,"Bishan Thomson Road",103.837847,1.350583,"w21zdv","Cell_S8253"
"North",21,"Bukit Timah Hill 7 Milestone",103.783252,1.336399,"w21z9e","Cell_S8435"
"West",22,"Jurong East",103.753001,1.336505,"w21z8g","Cell_S8588"
"West",22,"Taman Jurong",103.720166,1.324541,"w21z81","Cell_S8611"
"West",22,"Jurong West Lakeside Boon Lay",103.688319,1.339810,"w21xx7","Cell_S8627"
"West",22,"Taman Jurong",103.723445,1.336380,"w21z87","Cell_S8710"
"West",22,"Jurong West Lakeside Boon Lay",103.712830,1.349448,"w21z8j","Cell_S8754"
"West",22,"Jurong West Lakeside Boon Lay",103.727173,1.350935,"w21z8m","Cell_S9029"
"West",22,"Jurong West Lakeside Boon Lay",103.714702,1.342999,"w21z8h","Cell_S9045"
"West",22,"Jurong Joo Koon",103.669784,1.291616,"w21xr5","Cell_S9102"
"West",22,"Jurong Joo Koon",103.669784,1.291616,"w21xr5","Cell_S9376"
"West",22,"Jurong West Lakeside Boon Lay",103.700269,1.335370,"w21xxg","Cell_S9417"
"West",22,"Jurong West Lakeside Boon Lay",103.686274,1.342072,"w21xxk","Cell_S9459"
"West",22,"Jurong West Lakeside Boon Lay",103.690938,1.344460,"w21xxs","Cell_S9523"
"West",22,"Jurong East",103.751156,1.303205,"w21z2v","Cell_S9666"
"North",23,"Yew Tee Choa Chu Kang",103.740018,1.383787,"w21zbe","Cell_S9717"
"North",23,"Bukit Panjang",103.769418,1.383967,"w21zc7","Cell_S9963"
"North",23,"Bukit Panjang",103.771788,1.378527,"w21zc6","Cell_S10170"
"West",23,"Hillview",103.761485,1.353860,"w21z9n","Cell_S10379"
"North",24,"Neo Tiew Kranji",103.723273,1.443546,"w23b0q","Cell_S10450"
"North",25,"Woodlands Marsiling Amiralty",103.799069,1.445249,"w23b4p","Cell_S10658"
"North",25,"Woodlands Marsiling Amiralty",103.791683,1.433845,"w23b1v","Cell_S10882"
"North",25,"Woodlands Marsiling Amiralty",103.791683,1.433845,"w23b1v","Cell_S11013"
"North",25,"Woodlands Marsiling Amiralty",103.797702,1.442508,"w23b1y","Cell_S11107"
"North-East",26,"Nee Soon",103.836183,1.384397,"w21zfu","Cell_S11159"
"North",27,"Yishun Khatib",103.832457,1.414176,"w23b4c","Cell_S11447"
"North",27,"Sembawang",103.814560,1.470143,"w23b67","Cell_S11563"
"North",27,"Yishun Khatib",103.838698,1.437755,"w23b4v","Cell_S11566"
"West",,"Jurong East",103.748983,1.333136,"w21z8f","Cell_S14"
"Central",,"Orchard Road",103.834676,1.302424,"w21z6v","Cell_S24"
"Central",,"Tanjong Pagar",103.839416,1.278491,"w21z6b","Cell_S46"
"Central",1,"Marina South",103.859978,1.282235,"w21z73","Cell_S140"
"Central",1,"Chinatown",103.842318,1.288413,"w21z6f","Cell_S260"
"Central",1,"Marina South",103.854157,1.279430,"w21z72","Cell_S300"
"Central",1,"Marina Esplanade Suntec",103.858775,1.293525,"w21z77","Cell_S373"
"Central",1,"Marina South",103.854157,1.279430,"w21z72","Cell_S539"
"Central",1,"Raffles Place",103.851463,1.283933,"w21z71","Cell_S549"
"Central",1,"Robinson Road Shenton Way",103.846674,1.281397,"w21z71","Cell_S668"
"Central",1,"Raffles Place",103.849079,1.285047,"w21z71","Cell_S710"
"Central",1,"Marina South",103.854157,1.279430,"w21z72","Cell_S722"
"Central",1,"Chinatown",103.844243,1.281493,"w21z71","Cell_S737"
"Central",2,"Prince Edward Anson Road",103.845955,1.275857,"w21z70","Cell_S952"
"Central",2,"Tanjong Pagar",103.842868,1.273112,"w21z5p","Cell_S956"
"Central",2,"Prince Edward Anson Road",103.844698,1.274017,"w21z5p","Cell_S995"
"Central",3,"Outram Road Tiong Bahru",103.834657,1.289037,"w21z6f","Cell_S1167"
"Central",3,"Queenstown Commonwealth",103.800177,1.294016,"w21z65","Cell_S1195"
"Central",3,"Redhill Bukit Merah Alexandra",103.820465,1.287868,"w21z66","Cell_S1294"
"Central",3,"Outram Road Tiong Bahru",103.829058,1.281529,"w21z69","Cell_S1313"
"Central",4,"Habourfront Telok Blangah",103.826295,1.248134,"w21z4e","Cell_S1484"
"Central",4,"Depot Road",103.809948,1.276853,"w21z62","Cell_S1536"
"Central",4,"Habourfront Telok Blangah",103.830821,1.257347,"w21z4s","Cell_S1556"
"Central",4,"Habourfront Telok Blangah",103.825623,1.272401,"w21z4x","Cell_S1564"
"Central",4,"Depot Road",103.808817,1.273954,"w21z4p","Cell_S1671"
"West",5,"Pasir Panjang Alexandra Kent Ridge",103.780358,1.291117,"w21z3e","Cell_S1888"
"West",5,"Pasir Panjang Alexandra Kent Ridge",103.779348,1.283087,"w21z39","Cell_S2036"
"West",5,"Pasir Panjang Alexandra Kent Ridge",103.774099,1.301473,"w21z3k","Cell_S2084"
"West",5,"Clementi",103.760867,1.312517,"w21z3n","Cell_S2177"
"Central",6,"Central Fire Station Hill Street",103.851181,1.291189,"w21z75","Cell_S2376"
"Central",6,"Central Fire Station Hill Street",103.851181,1.291189,"w21z75","Cell_S2401"
"Central",6,"Central Fire Station Hill Street",103.848024,1.290595,"w21z74","Cell_S2402"
"Central",7,"Bugis Victoria Street Rochor",103.854506,1.301476,"w21z7k","Cell_S2657"
"Central",9,"Orchard Road",103.837888,1.301485,"w21z6u","Cell_S2828"
"Central",9,"Orchard Road",103.842227,1.300615,"w21z6u","Cell_S3020"
"Central",9,"Cavenagh Road Scotts Road Newton",103.849511,1.302122,"w21z7j","Cell_S3041"
"Central",9,"Orchard Road",103.832295,1.303343,"w21z6v","Cell_S3048"
